frame,time_sec,bat_detected,ball_detected,impact_detected,impact_confidence
197,6.79,0,1,0,0.0
198,6.83,0,1,0,0.0
199,6.86,1,1,0,0.0
200,6.9,0,1,0,0.0
201,6.93,0,1,0,0.0
202,6.97,0,1,0,0.0
203,7.0,0,1,0,0.0
204,7.03,0,1,0,0.0
205,7.07,0,1,0,0.0
206,7.1,0,1,0,0.0
207,7.14,0,1,0,0.0
208,7.17,0,1,0,0.0
209,7.21,0,1,0,0.0
210,7.24,0,1,0,0.0
211,7.28,0,1,0,0.0
212,7.31,0,1,0,0.0
213,7.34,0,1,0,0.0
214,7.38,0,1,0,0.0
215,7.41,0,1,0,0.0
216,7.45,0,1,0,0.0
217,7.48,0,1,0,0.0
218,7.52,0,1,0,0.0
219,7.55,0,1,0,0.0
220,7.59,0,1,0,0.0
221,7.62,0,1,0,0.0
222,7.66,0,1,0,0.0
223,7.69,0,1,0,0.0
224,7.72,0,1,0,0.0
225,7.76,0,1,0,0.0
226,7.79,1,1,0,0.0
227,7.83,1,1,0,0.0
228,7.86,0,1,0,0.0
229,7.9,0,1,0,0.0
230,7.93,0,1,0,0.0
231,7.97,0,1,0,0.0
232,8.0,0,1,0,0.0
233,8.03,0,1,0,0.0
234,8.07,0,1,0,0.0
235,8.1,0,1,0,0.0
236,8.14,0,1,0,0.0
237,8.17,0,1,0,0.0
238,8.21,1,1,0,0.0
239,8.24,0,1,0,0.0
240,8.28,1,1,0,0.0
241,8.31,1,1,0,0.0
242,8.34,0,1,0,0.0
243,8.38,0,1,0,0.0
244,8.41,0,1,0,0.0
245,8.45,0,1,0,0.0
246,8.48,0,1,0,0.0
247,8.52,0,1,0,0.0
248,8.55,0,1,0,0.0
249,8.59,0,1,0,0.0
250,8.62,0,1,0,0.0
251,8.66,0,1,0,0.0
252,8.69,0,1,0,0.0
253,8.72,0,1,0,0.0
254,8.76,0,1,0,0.0
255,8.79,0,1,0,0.0
256,8.83,1,1,0,0.0
257,8.86,0,1,0,0.0
258,8.9,0,1,0,0.0
259,8.93,0,1,0,0.0
260,8.97,0,1,0,0.0
261,9.0,0,1,0,0.0
262,9.03,0,1,0,0.0
263,9.07,0,1,0,0.0
264,9.1,0,1,0,0.0
265,9.14,0,1,0,0.0
266,9.17,0,1,0,0.0
267,9.21,0,1,0,0.0
268,9.24,0,1,0,0.0
269,9.28,0,1,0,0.0
270,9.31,0,1,0,0.0
271,9.34,0,1,0,0.0
272,9.38,0,1,0,0.0
273,9.41,0,1,0,0.0
274,9.45,0,1,0,0.0
275,9.48,0,1,0,0.0
276,9.52,0,1,0,0.0
277,9.55,0,1,0,0.0
278,9.59,0,1,0,0.0
279,9.62,0,1,0,0.0
280,9.66,0,1,0,0.0
281,9.69,0,1,0,0.0
282,9.72,0,1,0,0.0
283,9.76,0,1,0,0.0
284,9.79,0,1,0,0.0
285,9.83,0,1,0,0.0
286,9.86,0,1,0,0.0
287,9.9,0,1,0,0.0
288,9.93,0,1,0,0.0
289,9.97,0,1,0,0.0
290,10.0,0,1,0,0.0
291,10.03,0,1,0,0.0
292,10.07,0,1,0,0.0
293,10.1,0,1,0,0.0
294,10.14,0,1,0,0.0
295,10.17,0,1,0,0.0
296,10.21,0,1,0,0.0
297,10.24,0,1,0,0.0
298,10.28,0,1,0,0.0
299,10.31,0,1,0,0.0
300,10.34,0,1,0,0.0
301,10.38,1,1,0,0.0
302,10.41,0,1,0,0.0
303,10.45,0,1,0,0.0
304,10.48,1,1,0,0.0
305,10.52,0,1,0,0.0
306,10.55,0,1,0,0.0
307,10.59,0,1,0,0.0
308,10.62,0,1,0,0.0
309,10.66,1,1,0,0.0
310,10.69,0,1,0,0.0
311,10.72,0,1,0,0.0
312,10.76,1,1,0,0.0
313,10.79,1,1,0,0.0
314,10.83,1,1,0,0.0
315,10.86,1,1,0,0.0
316,10.9,0,1,0,0.0
317,10.93,1,1,0,0.0
318,10.97,1,1,0,0.0
319,11.0,0,1,0,0.0
320,11.03,1,1,0,0.0
321,11.07,1,1,0,0.0
322,11.1,1,1,0,0.0
323,11.14,1,1,0,0.0
324,11.17,0,1,0,0.0
325,11.21,0,1,0,0.0
326,11.24,0,1,0,0.0
327,11.28,0,1,0,0.0
328,11.31,0,1,0,0.0
329,11.34,0,1,0,0.0
330,11.38,0,1,0,0.0
331,11.41,0,1,0,0.0
332,11.45,0,1,0,0.0
333,11.48,0,1,0,0.0
334,11.52,0,1,0,0.0
335,11.55,1,1,0,0.0
336,11.59,1,1,0,0.0
337,11.62,1,1,0,0.0
338,11.66,0,1,0,0.0
339,11.69,0,1,0,0.0
340,11.72,1,1,0,0.0
341,11.76,1,1,0,0.0
342,11.79,1,1,0,0.0
343,11.83,1,1,0,0.0
344,11.86,1,1,0,0.0
345,11.9,1,1,0,0.0
346,11.93,1,1,0,0.0
347,11.97,1,1,0,0.0
348,12.0,1,1,0,0.0
349,12.03,1,1,0,0.0
350,12.07,1,1,0,0.0
351,12.1,1,1,0,0.0
352,12.14,1,1,0,0.0
353,12.17,1,1,0,0.0
354,12.21,1,1,0,0.0
355,12.24,1,1,0,0.0
356,12.28,1,1,0,0.0
357,12.31,1,1,0,0.0
358,12.34,0,1,0,0.0
359,12.38,0,1,0,0.0
360,12.41,0,1,0,0.0
361,12.45,0,1,0,0.0
362,12.48,0,1,0,0.0
363,12.52,0,1,0,0.0
364,12.55,0,1,0,0.0
365,12.59,0,1,0,0.0
366,12.62,0,1,0,0.0
367,12.66,0,1,0,0.0
368,12.69,1,1,0,0.0
369,12.72,1,1,0,0.0
370,12.76,1,1,0,0.0
371,12.79,1,1,0,0.0
372,12.83,1,1,0,0.0
373,12.86,1,1,0,0.0
374,12.9,0,1,0,0.0
375,12.93,1,1,0,0.0
376,12.97,0,1,0,0.0
377,13.0,0,1,0,0.0
378,13.03,1,1,0,0.0
379,13.07,0,1,0,0.0
380,13.1,0,1,0,0.0
381,13.14,0,1,0,0.0
382,13.17,0,1,0,0.0
383,13.21,0,1,0,0.0
384,13.24,0,1,0,0.0
385,13.28,0,1,0,0.0
386,13.31,1,1,0,0.0
387,13.34,1,1,0,0.0
388,13.38,1,1,0,0.0
389,13.41,0,1,0,0.0
390,13.45,0,1,0,0.0
391,13.48,0,1,0,0.0
392,13.52,0,1,0,0.0
393,13.55,0,1,0,0.0
394,13.59,0,1,0,0.0
395,13.62,0,1,0,0.0
396,13.66,0,1,0,0.0
397,13.69,0,1,0,0.0
398,13.72,0,1,0,0.0
399,13.76,0,1,0,0.0
400,13.79,0,1,0,0.0
401,13.83,0,1,0,0.0
402,13.86,0,1,0,0.0
403,13.9,0,1,0,0.0
404,13.93,0,1,0,0.0
405,13.97,0,1,0,0.0
406,14.0,0,1,0,0.0
407,14.03,0,1,0,0.0
408,14.07,0,1,0,0.0
409,14.1,0,1,0,0.0
410,14.14,0,1,0,0.0
411,14.17,0,1,0,0.0
412,14.21,0,1,0,0.0
413,14.24,0,1,0,0.0
414,14.28,0,1,0,0.0
415,14.31,0,1,0,0.0
416,14.34,0,1,0,0.0
417,14.38,0,1,0,0.0
418,14.41,0,1,0,0.0
419,14.45,0,1,0,0.0
420,14.48,0,1,0,0.0
421,14.52,0,1,0,0.0
422,14.55,0,1,0,0.0
423,14.59,0,1,0,0.0
424,14.62,0,1,0,0.0
425,14.66,0,1,0,0.0
426,14.69,0,1,0,0.0
427,14.72,0,1,0,0.0
428,14.76,0,1,0,0.0
429,14.79,0,1,0,0.0
430,14.83,0,1,0,0.0
431,14.86,0,1,0,0.0
432,14.9,0,1,0,0.0
433,14.93,0,1,0,0.0
434,14.97,0,1,0,0.0
435,15.0,1,1,0,0.0
436,15.03,0,1,0,0.0
437,15.07,0,1,0,0.0
438,15.1,0,1,0,0.0
439,15.14,1,1,0,0.0
440,15.17,1,1,0,0.0
441,15.21,0,1,0,0.0
442,15.24,1,1,0,0.0
443,15.28,0,1,0,0.0
444,15.31,0,1,0,0.0
445,15.34,1,1,0,0.0
446,15.38,1,1,0,0.0
447,15.41,1,1,0,0.0
448,15.45,1,1,0,0.0
449,15.48,1,1,0,0.0
450,15.52,1,1,0,0.0
451,15.55,0,1,0,0.0
452,15.59,0,1,0,0.0
453,15.62,0,1,0,0.0
454,15.66,0,1,0,0.0
455,15.69,0,1,0,0.0
456,15.72,0,1,0,0.0
457,15.76,0,1,0,0.0
458,15.79,0,1,0,0.0
459,15.83,0,1,0,0.0
460,15.86,0,1,0,0.0
461,15.9,0,1,0,0.0
462,15.93,0,1,0,0.0
463,15.97,0,1,0,0.0
464,16.0,0,1,0,0.0
465,16.03,0,1,0,0.0
466,16.07,0,1,0,0.0
467,16.1,0,1,0,0.0
468,16.14,0,1,0,0.0
469,16.17,0,1,0,0.0
470,16.21,0,1,0,0.0
471,16.24,0,1,0,0.0
472,16.28,0,1,0,0.0
473,16.31,0,1,0,0.0
474,16.34,0,1,0,0.0
475,16.38,0,1,0,0.0
476,16.41,0,1,0,0.0
477,16.45,0,1,0,0.0
478,16.48,0,1,0,0.0
479,16.52,0,1,0,0.0
480,16.55,0,1,0,0.0
481,16.59,0,1,0,0.0
482,16.62,0,1,0,0.0
483,16.66,0,1,0,0.0
484,16.69,0,1,0,0.0
485,16.72,0,1,0,0.0
486,16.76,0,1,0,0.0
487,16.79,0,1,0,0.0
488,16.83,0,1,0,0.0
489,16.86,0,1,0,0.0
490,16.9,0,1,0,0.0
491,16.93,0,1,0,0.0
492,16.97,0,1,0,0.0
493,17.0,1,1,0,0.0
494,17.03,1,1,0,0.0
495,17.07,1,1,0,0.0
496,17.1,1,1,0,0.0
497,17.14,1,1,0,0.0
498,17.17,1,1,0,0.0
499,17.21,1,1,0,0.0
500,17.24,0,1,0,0.0
501,17.28,0,1,0,0.0
502,17.31,0,1,0,0.0
503,17.34,0,1,0,0.0
504,17.38,0,1,0,0.0
505,17.41,0,1,0,0.0
506,17.45,0,1,0,0.0
507,17.48,0,1,0,0.0
508,17.52,1,1,0,0.0
509,17.55,1,1,0,0.0
510,17.59,1,1,0,0.0
511,17.62,1,1,0,0.0
512,17.66,1,1,0,0.0
513,17.69,0,1,0,0.0
514,17.72,1,1,0,0.0
515,17.76,1,1,0,0.0
516,17.79,1,1,0,0.0
517,17.83,0,1,0,0.0
518,17.86,0,1,0,0.0
519,17.9,0,1,0,0.0
520,17.93,0,1,0,0.0
521,17.97,0,1,0,0.0
522,18.0,0,1,0,0.0
523,18.03,0,1,0,0.0
524,18.07,0,1,0,0.0
525,18.1,0,1,0,0.0
526,18.14,0,1,0,0.0
527,18.17,0,1,0,0.0
528,18.21,0,1,0,0.0
529,18.24,0,1,0,0.0
530,18.28,0,1,0,0.0
531,18.31,0,1,0,0.0
532,18.34,0,1,0,0.0
533,18.38,0,1,0,0.0
534,18.41,0,1,0,0.0
535,18.45,0,1,0,0.0
536,18.48,0,1,0,0.0
537,18.52,0,1,0,0.0
538,18.55,0,1,0,0.0
539,18.59,0,1,0,0.0
540,18.62,0,1,0,0.0
541,18.66,0,1,0,0.0
542,18.69,0,1,0,0.0
543,18.72,0,1,0,0.0
544,18.76,1,1,0,0.0
545,18.79,1,1,0,0.0
546,18.83,1,1,0,0.0
547,18.86,1,1,0,0.0
548,18.9,1,1,0,0.0
549,18.93,1,1,0,0.0
550,18.97,1,1,0,0.0
551,19.0,1,1,0,0.0
552,19.03,1,1,0,0.0
553,19.07,0,1,0,0.0
554,19.1,1,1,0,0.0
555,19.14,0,1,0,0.0
556,19.17,0,1,0,0.0
557,19.21,0,1,0,0.0
558,19.24,1,1,0,0.0
559,19.28,1,1,0,0.0
560,19.31,1,1,0,0.0
561,19.34,0,1,0,0.0
562,19.38,0,1,0,0.0
563,19.41,1,1,0,0.0
564,19.45,0,1,0,0.0
565,19.48,0,1,0,0.0
566,19.52,0,1,0,0.0
567,19.55,0,1,0,0.0
568,19.59,1,1,0,0.0
569,19.62,1,1,0,0.0
570,19.66,0,1,0,0.0
571,19.69,1,1,0,0.0
572,19.72,0,1,0,0.0
573,19.76,0,1,0,0.0
574,19.79,0,1,0,0.0
575,19.83,0,1,0,0.0
576,19.86,0,1,0,0.0
577,19.9,0,1,0,0.0
578,19.93,0,1,0,0.0
579,19.97,0,1,0,0.0
580,20.0,0,1,0,0.0
581,20.03,0,1,0,0.0
582,20.07,0,1,0,0.0
583,20.1,0,1,0,0.0
584,20.14,0,1,0,0.0
585,20.17,0,1,0,0.0
586,20.21,0,1,0,0.0
587,20.24,0,1,0,0.0
588,20.28,0,1,0,0.0
589,20.31,0,1,0,0.0
590,20.34,0,1,0,0.0
591,20.38,0,1,0,0.0
592,20.41,0,1,0,0.0
593,20.45,0,1,0,0.0
594,20.48,0,1,0,0.0
595,20.52,0,1,0,0.0
596,20.55,0,1,0,0.0
597,20.59,0,1,0,0.0
598,20.62,0,1,0,0.0
599,20.66,0,1,0,0.0
600,20.69,0,1,0,0.0
601,20.72,0,1,0,0.0
602,20.76,0,1,0,0.0
603,20.79,0,1,0,0.0
604,20.83,0,1,0,0.0
605,20.86,0,1,0,0.0
606,20.9,0,1,0,0.0
607,20.93,0,1,0,0.0
608,20.97,0,1,0,0.0
609,21.0,0,1,0,0.0
610,21.03,0,1,0,0.0
611,21.07,0,1,0,0.0
612,21.1,0,1,0,0.0
613,21.14,0,1,0,0.0
614,21.17,0,1,0,0.0
615,21.21,0,1,0,0.0
616,21.24,0,1,0,0.0
617,21.28,0,1,0,0.0
618,21.31,0,1,0,0.0
619,21.34,0,1,0,0.0
620,21.38,0,1,0,0.0
621,21.41,0,1,0,0.0
622,21.45,0,1,0,0.0
623,21.48,1,1,0,0.0
624,21.52,0,1,0,0.0
625,21.55,0,1,0,0.0
626,21.59,0,1,0,0.0
627,21.62,0,1,0,0.0
628,21.66,0,1,0,0.0
629,21.69,0,1,0,0.0
630,21.72,0,1,0,0.0
631,21.76,0,1,0,0.0
632,21.79,0,1,0,0.0
633,21.83,0,1,0,0.0
634,21.86,0,1,0,0.0
635,21.9,1,1,0,0.0
636,21.93,0,1,0,0.0
637,21.97,0,1,0,0.0
638,22.0,0,1,0,0.0
639,22.03,0,1,0,0.0
640,22.07,0,1,0,0.0
641,22.1,1,1,0,0.0
642,22.14,0,1,0,0.0
643,22.17,0,1,0,0.0
644,22.21,0,1,0,0.0
645,22.24,0,1,0,0.0
646,22.28,0,1,0,0.0
647,22.31,0,1,0,0.0
648,22.34,0,1,0,0.0
649,22.38,0,1,0,0.0
650,22.41,0,1,0,0.0
651,22.45,0,1,0,0.0
652,22.48,0,1,0,0.0
653,22.52,0,1,0,0.0
654,22.55,0,1,0,0.0
655,22.59,1,1,0,0.0
656,22.62,0,1,0,0.0
657,22.66,0,1,0,0.0
658,22.69,0,1,0,0.0
659,22.72,0,1,0,0.0
660,22.76,0,1,0,0.0
661,22.79,0,1,0,0.0
662,22.83,1,1,0,0.0
663,22.86,1,1,0,0.0
664,22.9,1,1,0,0.0
665,22.93,1,1,0,0.0
666,22.97,1,1,0,0.0
667,23.0,1,1,0,0.0
668,23.03,1,1,0,0.0
669,23.07,1,1,0,0.0
670,23.1,1,1,0,0.0
671,23.14,1,1,0,0.0
672,23.17,1,1,0,0.0
673,23.21,1,1,0,0.0
674,23.24,1,1,0,0.0
675,23.28,1,1,0,0.0
676,23.31,1,1,0,0.0
677,23.34,1,1,0,0.0
678,23.38,1,1,0,0.0
679,23.41,1,1,0,0.0
680,23.45,1,1,0,0.0
681,23.48,1,1,0,0.0
682,23.52,1,1,0,0.0
683,23.55,1,1,0,0.0
684,23.59,1,1,0,0.0
685,23.62,0,1,0,0.0
686,23.66,0,1,0,0.0
687,23.69,0,1,0,0.0
688,23.72,0,1,0,0.0
689,23.76,0,1,0,0.0
690,23.79,0,1,0,0.0
691,23.83,0,1,0,0.0
692,23.86,0,1,0,0.0
693,23.9,0,1,0,0.0
694,23.93,1,1,0,0.0
695,23.97,1,1,0,0.0
696,24.0,1,1,0,0.0
697,24.03,1,1,0,0.0
698,24.07,1,1,0,0.0
699,24.1,1,1,0,0.0
700,24.14,1,1,0,0.0
701,24.17,1,1,0,0.0
